,cause,num_incident
180,No mediate cause,2020S000181
181,No mediate cause,2020S000182
182,No mediate cause,2020S000183
183,No mediate cause,2020S000184
184,No mediate cause,2020S000185
185,No mediate cause,2020S000186
186,No mediate cause,2020S000187
187,No mediate cause,2020S000188
188,No mediate cause,2020S000189
189,No mediate cause,2020S000190
190,No mediate cause,2020S000191
191,No mediate cause,2020S000192
192,No mediate cause,2020S000193
193,No mediate cause,2020S000194
194,No mediate cause,2020S000195
195,No mediate cause,2020S000196
196,No mediate cause,2020S000197
197,No mediate cause,2020S000198
198,No mediate cause,2020S000199
199,No mediate cause,2020S000200
200,No mediate cause,2020S000201
201,No mediate cause,2020S000202
202,No mediate cause,2020S000203
203,No mediate cause,2020S000204
204,No mediate cause,2020S000205
205,No mediate cause,2020S000206
206,No mediate cause,2020S000207
207,No mediate cause,2020S000208
208,No mediate cause,2020S000209
209,No mediate cause,2020S000210
210,No mediate cause,2020S000211
211,No mediate cause,2020S000212
212,No mediate cause,2020S000213
213,No mediate cause,2020S000214
214,No mediate cause,2020S000215
215,No mediate cause,2020S000216
216,No mediate cause,2020S000217
217,No mediate cause,2020S000218
218,No mediate cause,2020S000219
219,No mediate cause,2020S000220
220,No mediate cause,2020S000221
221,No mediate cause,2020S000222
222,No mediate cause,2020S000223
223,No mediate cause,2020S000224
224,No mediate cause,2020S000225
225,No mediate cause,2020S000226
226,DrunkDriving,2020S000227
227,DrunkDriving,2020S000228
228,No mediate cause,2020S000229
229,DrunkDriving,2020S000230
230,No mediate cause,2020S000231
231,No mediate cause,2020S000232
232,No mediate cause,2020S000233
233,No mediate cause,2020S000234
234,No mediate cause,2020S000235
235,No mediate cause,2020S000236
236,No mediate cause,2020S000237
237,No mediate cause,2020S000238
238,No mediate cause,2020S000239
239,No mediate cause,2020S000240
240,No mediate cause,2020S000241
241,No mediate cause,2020S000242
242,No mediate cause,2020S000243
243,No mediate cause,2020S000244
244,No mediate cause,2020S000245
245,No mediate cause,2020S000246
246,No mediate cause,2020S000247
247,No mediate cause,2020S000248
248,No mediate cause,2020S000249
249,No mediate cause,2020S000250
250,No mediate cause,2020S000251
251,No mediate cause,2020S000252
252,No mediate cause,2020S000253
253,No mediate cause,2020S000254
254,No mediate cause,2020S000255
255,No mediate cause,2020S000256
256,No mediate cause,2020S000257
257,No mediate cause,2020S000258
258,No mediate cause,2020S000259
259,No mediate cause,2020S000260
260,No mediate cause,2020S000261
261,No mediate cause,2020S000262
262,No mediate cause,2020S000263
263,No mediate cause,2020S000264
264,No mediate cause,2020S000265
265,No mediate cause,2020S000266
266,No mediate cause,2020S000267
267,No mediate cause,2020S000268
268,No mediate cause,2020S000269
269,No mediate cause,2020S000270
270,No mediate cause,2020S000271
271,No mediate cause,2020S000272
272,No mediate cause,2020S000273
273,No mediate cause,2020S000274
274,No mediate cause,2020S000275
275,No mediate cause,2020S000276
276,No mediate cause,2020S000277
277,No mediate cause,2020S000278
278,No mediate cause,2020S000279
279,No mediate cause,2020S000280
280,No mediate cause,2020S000281
281,No mediate cause,2020S000282
282,No mediate cause,2020S000283
283,Speeding,2020S000284
284,No mediate cause,2020S000285
285,No mediate cause,2020S000286
286,No mediate cause,2020S000287
287,No mediate cause,2020S000288
288,No mediate cause,2020S000289
289,No mediate cause,2020S000290
290,No mediate cause,2020S000291
291,No mediate cause,2020S000292
292,No mediate cause,2020S000293
293,No mediate cause,2020S000294
294,No mediate cause,2020S000295
295,No mediate cause,2020S000296
296,No mediate cause,2020S000297
297,No mediate cause,2020S000298
298,No mediate cause,2020S000299
299,DrunkDriving,2020S000300
300,No mediate cause,2020S000301
301,No mediate cause,2020S000302
302,No mediate cause,2020S000303
303,No mediate cause,2020S000304
304,No mediate cause,2020S000305
305,No mediate cause,2020S000306
306,No mediate cause,2020S000307
307,No mediate cause,2020S000308
308,No mediate cause,2020S000309
309,No mediate cause,2020S000310
310,No mediate cause,2020S000311
311,No mediate cause,2020S000312
312,No mediate cause,2020S000313
313,No mediate cause,2020S000314
314,Road_damaged,2020S000315
315,No mediate cause,2020S000316
316,Road_damaged,2020S000317
317,No mediate cause,2020S000318
318,No mediate cause,2020S000319
319,No mediate cause,2020S000320
320,No mediate cause,2020S000321
321,No mediate cause,2020S000322
322,No mediate cause,2020S000323
323,No mediate cause,2020S000324
324,No mediate cause,2020S000325
325,No mediate cause,2020S000327
326,No mediate cause,2020S000328
327,No mediate cause,2020S000329
328,No mediate cause,2020S000330
329,No mediate cause,2020S000331
330,Road_damaged,2020S000332
331,No mediate cause,2020S000333
332,No mediate cause,2020S000334
333,No mediate cause,2020S000335
334,No mediate cause,2020S000336
335,No mediate cause,2020S000337
336,No mediate cause,2020S000338
337,No mediate cause,2020S000339
338,No mediate cause,2020S000340
339,No mediate cause,2020S000341
340,No mediate cause,2020S000342
341,No mediate cause,2020S000343
342,No mediate cause,2020S000344
343,No mediate cause,2020S000345
344,No mediate cause,2020S000346
345,No mediate cause,2020S000347
346,No mediate cause,2020S000348
347,No mediate cause,2020S000349
348,No mediate cause,2020S000350
349,No mediate cause,2020S000351
350,No mediate cause,2020S000352
351,No mediate cause,2020S000353
352,No mediate cause,2020S000354
353,No mediate cause,2020S000355
354,No mediate cause,2020S000356
355,No mediate cause,2020S000357
356,No mediate cause,2020S000358
357,No mediate cause,2020S000359
358,No mediate cause,2020S000360
359,No mediate cause,2020S000361
360,No mediate cause,2020S000362
361,No mediate cause,2020S000363
362,No mediate cause,2020S000364
363,No mediate cause,2020S000365
364,DrunkDriving,2020S000366
365,No mediate cause,2020S000367
366,No mediate cause,2020S000368
367,No mediate cause,2020S000369
368,DrunkDriving,2020S000370
369,No mediate cause,2020S000371
370,No mediate cause,2020S000372
371,No mediate cause,2020S000373
372,No mediate cause,2020S000374
373,No mediate cause,2020S000375
374,No mediate cause,2020S000376
375,No mediate cause,2020S000377
376,No mediate cause,2020S000378
377,No mediate cause,2020S000379
378,No mediate cause,2020S000380
379,No mediate cause,2020S000381
380,No mediate cause,2020S000382
381,No mediate cause,2020S000383
382,No mediate cause,2020S000384
383,No mediate cause,2020S000385
384,No mediate cause,2020S000386
385,No mediate cause,2020S000387
386,No mediate cause,2020S000388
387,No mediate cause,2020S000389
388,No mediate cause,2020S000390
389,No mediate cause,2020S000391
390,No mediate cause,2020S000392
391,No mediate cause,2020S000393
392,No mediate cause,2020S000394
393,No mediate cause,2020S000395
394,No mediate cause,2020S000396
395,No mediate cause,2020S000397
396,No mediate cause,2020S000398
397,No mediate cause,2020S000399
398,No mediate cause,2020S000400
399,No mediate cause,2020S000401
400,No mediate cause,2020S000402
401,No mediate cause,2020S000403
402,No mediate cause,2020S000404
403,No mediate cause,2020S000405
404,No mediate cause,2020S000406
405,No mediate cause,2020S000407
406,No mediate cause,2020S000408
407,No mediate cause,2020S000409
408,No mediate cause,2020S000410
409,No mediate cause,2020S000411
410,DrunkDriving,2020S000412
411,No mediate cause,2020S000413
412,No mediate cause,2020S000414
413,DrunkDriving,2020S000415
414,No mediate cause,2020S000416
415,No mediate cause,2020S000417
416,No mediate cause,2020S000419
417,No mediate cause,2020S000421
418,No mediate cause,2020S000422
419,No mediate cause,2020S000423
420,No mediate cause,2020S000424
421,No mediate cause,2020S000425
422,No mediate cause,2020S000426
423,No mediate cause,2020S000427
424,No mediate cause,2020S000428
425,No mediate cause,2020S000429
426,No mediate cause,2020S000430
427,No mediate cause,2020S000431
428,No mediate cause,2020S000432
429,No mediate cause,2020S000433
430,No mediate cause,2020S000434
431,No mediate cause,2020S000435
432,No mediate cause,2020S000436
433,No mediate cause,2020S000437
434,No mediate cause,2020S000438
435,No mediate cause,2020S000439
436,No mediate cause,2020S000440
437,No mediate cause,2020S000441
438,No mediate cause,2020S000442
439,No mediate cause,2020S000443
440,No mediate cause,2020S000444
441,DrunkDriving,2020S000445
442,No mediate cause,2020S000446
443,No mediate cause,2020S000447
444,No mediate cause,2020S000448
445,No mediate cause,2020S000449
446,No mediate cause,2020S000450
447,No mediate cause,2020S000451
448,No mediate cause,2020S000452
449,No mediate cause,2020S000453
450,No mediate cause,2020S000454
451,No mediate cause,2020S000455
452,Speeding,2020S000456
453,Speeding,2020S000457
454,No mediate cause,2020S000458
455,No mediate cause,2020S000459
456,No mediate cause,2020S000460
457,No mediate cause,2020S000461
458,No mediate cause,2020S000462
459,No mediate cause,2020S000463
460,No mediate cause,2020S000464
461,No mediate cause,2020S000465
462,No mediate cause,2020S000466
463,No mediate cause,2020S000467
464,No mediate cause,2020S000468
465,No mediate cause,2020S000469
466,No mediate cause,2020S000470
467,No mediate cause,2020S000471
468,No mediate cause,2020S000472
469,No mediate cause,2020S000473
470,No mediate cause,2020S000474
471,No mediate cause,2020S000475
472,No mediate cause,2020S000476
473,No mediate cause,2020S000477
474,No mediate cause,2020S000478
475,No mediate cause,2020S000479
476,No mediate cause,2020S000480
477,No mediate cause,2020S000481
478,No mediate cause,2020S000482
479,No mediate cause,2020S000483
480,No mediate cause,2020S000484
481,No mediate cause,2020S000485
482,No mediate cause,2020S000486
483,No mediate cause,2020S000487
484,No mediate cause,2020S000488
485,No mediate cause,2020S000489
486,No mediate cause,2020S000490
487,DUI,2020S000491
488,No mediate cause,2020S000492
489,No mediate cause,2020S000493
490,No mediate cause,2020S000494
491,No mediate cause,2020S000495
492,No mediate cause,2020S000496
493,No mediate cause,2020S000497
494,No mediate cause,2020S000498
495,No mediate cause,2020S000499
496,No mediate cause,2020S000500
497,No mediate cause,2020S000501
498,No mediate cause,2020S000502
499,No mediate cause,2020S000503
500,No mediate cause,2020S000504
501,No mediate cause,2020S000505
502,No mediate cause,2020S000506
503,No mediate cause,2020S000507
504,No mediate cause,2020S000508
505,No mediate cause,2020S000509
506,No mediate cause,2020S000511
507,No mediate cause,2020S000512
508,No mediate cause,2020S000513
509,No mediate cause,2020S000514
510,No mediate cause,2020S000515
511,No mediate cause,2020S000516
512,No mediate cause,2020S000517
513,No mediate cause,2020S000518
514,No mediate cause,2020S000519
515,No mediate cause,2020S000520
516,No mediate cause,2020S000521
517,No mediate cause,2020S000522
518,No mediate cause,2020S000523
519,No mediate cause,2020S000524
520,DUI,2020S000525
521,Road_damaged,2020S000526
522,No mediate cause,2020S000527
523,No mediate cause,2020S000528
524,No mediate cause,2020S000529
525,No mediate cause,2020S000530
526,No mediate cause,2020S000531
527,No mediate cause,2020S000532
528,No mediate cause,2020S000533
529,No mediate cause,2020S000534
530,No mediate cause,2020S000535
531,No mediate cause,2020S000536
532,No mediate cause,2020S000537
533,No mediate cause,2020S000538
534,No mediate cause,2020S000539
535,No mediate cause,2020S000540
536,No mediate cause,2020S000541
537,DrunkDriving,2020S000542
538,No mediate cause,2020S000543
539,No mediate cause,2020S000544
540,No mediate cause,2020S000545
541,No mediate cause,2020S000546
542,No mediate cause,2020S000547
543,No mediate cause,2020S000548
544,No mediate cause,2020S000549
545,No mediate cause,2020S000550
546,No mediate cause,2020S000551
547,No mediate cause,2020S000552
548,No mediate cause,2020S000553
549,No mediate cause,2020S000554
550,Road_damaged,2020S000555
551,No mediate cause,2020S000556
552,No mediate cause,2020S000557
553,No mediate cause,2020S000558
554,No mediate cause,2020S000559
555,No mediate cause,2020S000560
556,No mediate cause,2020S000561
557,No mediate cause,2020S000562
558,No mediate cause,2020S000563
559,No mediate cause,2020S000564
560,No mediate cause,2020S000565
561,No mediate cause,2020S000566
562,No mediate cause,2020S000567
563,No mediate cause,2020S000568
564,Speeding,2020S000569
565,No mediate cause,2020S000570
566,No mediate cause,2020S000571
567,No mediate cause,2020S000572
568,No mediate cause,2020S000573
569,No mediate cause,2020S000574
570,No mediate cause,2020S000575
571,DrunkDriving,2020S000576
572,No mediate cause,2020S000577
573,DrunkDriving,2020S000578
574,No mediate cause,2020S000579
575,No mediate cause,2020S000580
576,No mediate cause,2020S000581
577,No mediate cause,2020S000582
578,No mediate cause,2020S000583
579,No mediate cause,2020S000584
580,No mediate cause,2020S000585
581,No mediate cause,2020S000586
582,No mediate cause,2020S000587
583,No mediate cause,2020S000588
584,No mediate cause,2020S000589
585,No mediate cause,2020S000590
586,No mediate cause,2020S000591
587,No mediate cause,2020S000592
588,No mediate cause,2020S000593
589,No mediate cause,2020S000594
590,DrunkDriving,2020S000595
591,No mediate cause,2020S000596
592,No mediate cause,2020S000597
593,No mediate cause,2020S000598
594,No mediate cause,2020S000599
595,No mediate cause,2020S000600
596,DrunkDriving,2020S000601
597,No mediate cause,2020S000602
598,No mediate cause,2020S000603
599,No mediate cause,2020S000604
600,No mediate cause,2020S000605
601,No mediate cause,2020S000606
602,No mediate cause,2020S000607
603,No mediate cause,2020S000608
604,No mediate cause,2020S000610
605,No mediate cause,2020S000611
606,No mediate cause,2020S000612
607,No mediate cause,2020S000613
608,No mediate cause,2020S000614
609,No mediate cause,2020S000615
610,No mediate cause,2020S000616
611,No mediate cause,2020S000617
612,No mediate cause,2020S000618
613,No mediate cause,2020S000619
614,No mediate cause,2020S000620
615,No mediate cause,2020S000621
616,No mediate cause,2020S000622
617,No mediate cause,2020S000623
618,No mediate cause,2020S000624
619,No mediate cause,2020S000625
620,No mediate cause,2020S000626
621,No mediate cause,2020S000627
622,DrunkDriving,2020S000628
623,No mediate cause,2020S000629
624,No mediate cause,2020S000630
625,No mediate cause,2020S000631
626,No mediate cause,2020S000632
627,No mediate cause,2020S000633
628,Road_damaged,2020S000634
629,No mediate cause,2020S000635
630,No mediate cause,2020S000636
631,No mediate cause,2020S000637
632,No mediate cause,2020S000638
633,No mediate cause,2020S000639
634,No mediate cause,2020S000640
635,No mediate cause,2020S000641
636,No mediate cause,2020S000642
637,No mediate cause,2020S000643
638,No mediate cause,2020S000644
639,No mediate cause,2020S000645
640,No mediate cause,2020S000646
641,No mediate cause,2020S000647
642,No mediate cause,2020S000648
643,No mediate cause,2020S000649
644,No mediate cause,2020S000650
645,No mediate cause,2020S000651
646,No mediate cause,2020S000652
647,No mediate cause,2020S000653
648,No mediate cause,2020S000654
649,No mediate cause,2020S000655
650,No mediate cause,2020S000656
651,No mediate cause,2020S000657
652,No mediate cause,2020S000658
653,No mediate cause,2020S000659
654,No mediate cause,2020S000660
655,No mediate cause,2020S000661
656,No mediate cause,2020S000662
657,No mediate cause,2020S000663
658,No mediate cause,2020S000664
659,No mediate cause,2020S000665
660,No mediate cause,2020S000666
661,No mediate cause,2020S000667
662,No mediate cause,2020S000668
663,No mediate cause,2020S000669
664,No mediate cause,2020S000670
665,No mediate cause,2020S000671
666,No mediate cause,2020S000672
667,No mediate cause,2020S000673
668,No mediate cause,2020S000674
669,No mediate cause,2020S000675
670,No mediate cause,2020S000676
671,No mediate cause,2020S000677
672,No mediate cause,2020S000678
673,No mediate cause,2020S000679
674,No mediate cause,2020S000680
675,No mediate cause,2020S000681
676,No mediate cause,2020S000682
677,No mediate cause,2020S000683
678,No mediate cause,2020S000684
679,No mediate cause,2020S000685
680,No mediate cause,2020S000686
681,No mediate cause,2020S000687
682,No mediate cause,2020S000688
683,No mediate cause,2020S000689
684,No mediate cause,2020S000690
685,No mediate cause,2020S000691
686,No mediate cause,2020S000692
687,No mediate cause,2020S000693
688,No mediate cause,2020S000694
689,No mediate cause,2020S000695
690,No mediate cause,2020S000696
691,No mediate cause,2020S000697
692,No mediate cause,2020S000698
693,No mediate cause,2020S000699
694,No mediate cause,2020S000700
695,No mediate cause,2020S000701
696,No mediate cause,2020S000702
697,DrunkDriving,2020S000703
698,No mediate cause,2020S000704
699,No mediate cause,2020S000705
700,No mediate cause,2020S000706
701,No mediate cause,2020S000707
702,No mediate cause,2020S000708
703,No mediate cause,2020S000709
704,No mediate cause,2020S000710
705,No mediate cause,2020S000711
706,No mediate cause,2020S000712
707,No mediate cause,2020S000713
708,No mediate cause,2020S000714
709,No mediate cause,2020S000715
710,No mediate cause,2020S000716
711,No mediate cause,2020S000717
712,No mediate cause,2020S000718
713,No mediate cause,2020S000719
714,No mediate cause,2020S000720
715,No mediate cause,2020S000721
716,No mediate cause,2020S000722
717,No mediate cause,2020S000723
718,No mediate cause,2020S000724
719,No mediate cause,2020S000725
720,No mediate cause,2020S000726
721,No mediate cause,2020S000727
722,No mediate cause,2020S000728
723,No mediate cause,2020S000729
724,No mediate cause,2020S000730
725,No mediate cause,2020S000731
726,No mediate cause,2020S000732
727,No mediate cause,2020S000733
728,DrunkDriving,2020S000734
729,No mediate cause,2020S000735
730,No mediate cause,2020S000736
731,No mediate cause,2020S000737
732,No mediate cause,2020S000738
733,No mediate cause,2020S000739
734,No mediate cause,2020S000740
735,No mediate cause,2020S000741
736,No mediate cause,2020S000742
737,No mediate cause,2020S000743
738,No mediate cause,2020S000744
739,No mediate cause,2020S000745
740,No mediate cause,2020S000746
741,No mediate cause,2020S000747
742,No mediate cause,2020S000748
743,No mediate cause,2020S000749
744,No mediate cause,2020S000750
745,No mediate cause,2020S000751
746,No mediate cause,2020S000752
747,No mediate cause,2020S000753
748,No mediate cause,2020S000754
749,No mediate cause,2020S000755
750,No mediate cause,2020S000756
751,No mediate cause,2020S000757
752,No mediate cause,2020S000758
753,No mediate cause,2020S000759
754,No mediate cause,2020S000760
755,No mediate cause,2020S000761
756,No mediate cause,2020S000762
757,No mediate cause,2020S000763
758,No mediate cause,2020S000764
759,DrunkDriving,2020S000765
760,No mediate cause,2020S000766
761,No mediate cause,2020S000767
762,No mediate cause,2020S000768
763,No mediate cause,2020S000769
764,No mediate cause,2020S000770
765,No mediate cause,2020S000771
766,DrunkDriving,2020S000772
767,No mediate cause,2020S000773
768,No mediate cause,2020S000774
769,No mediate cause,2020S000775
770,No mediate cause,2020S000776
771,No mediate cause,2020S000777
772,No mediate cause,2020S000778
773,No mediate cause,2020S000779
774,No mediate cause,2020S000780
775,No mediate cause,2020S000781
776,No mediate cause,2020S000782
777,No mediate cause,2020S000783
778,No mediate cause,2020S000784
779,No mediate cause,2020S000785
780,No mediate cause,2020S000786
781,No mediate cause,2020S000787
782,No mediate cause,2020S000788
783,No mediate cause,2020S000789
784,DrunkDriving,2020S000790
785,No mediate cause,2020S000791
786,No mediate cause,2020S000792
787,No mediate cause,2020S000793
788,No mediate cause,2020S000794
789,No mediate cause,2020S000795
790,No mediate cause,2020S000796
791,No mediate cause,2020S000797
792,No mediate cause,2020S000798
793,No mediate cause,2020S000799
794,No mediate cause,2020S000800
795,No mediate cause,2020S000801
796,No mediate cause,2020S000802
797,No mediate cause,2020S000803
798,No mediate cause,2020S000804
799,No mediate cause,2020S000805
800,No mediate cause,2020S000806
801,DrunkDriving,2020S000807
802,No mediate cause,2020S000808
803,No mediate cause,2020S000809
804,No mediate cause,2020S000811
805,No mediate cause,2020S000812
806,DrunkDriving,2020S000813
807,No mediate cause,2020S000814
808,No mediate cause,2020S000815
809,No mediate cause,2020S000816
810,No mediate cause,2020S000817
811,No mediate cause,2020S000818
812,No mediate cause,2020S000819
813,No mediate cause,2020S000820
814,No mediate cause,2020S000821
815,No mediate cause,2020S000822
816,No mediate cause,2020S000823
817,No mediate cause,2020S000824
818,No mediate cause,2020S000825
819,No mediate cause,2020S000826
820,No mediate cause,2020S000827
821,No mediate cause,2020S000828
822,No mediate cause,2020S000829
823,No mediate cause,2020S000830
824,No mediate cause,2020S000831
825,No mediate cause,2020S000832
826,No mediate cause,2020S000833
827,No mediate cause,2020S000834
828,No mediate cause,2020S000835
829,No mediate cause,2020S000836
830,No mediate cause,2020S000837
831,No mediate cause,2020S000838
832,No mediate cause,2020S000839
833,No mediate cause,2020S000840
834,No mediate cause,2020S000841
835,No mediate cause,2020S000842
836,No mediate cause,2020S000843
837,No mediate cause,2020S000844
838,No mediate cause,2020S000845
839,No mediate cause,2020S000846
840,DrunkDriving,2020S000847
841,No mediate cause,2020S000848
842,No mediate cause,2020S000849
843,No mediate cause,2020S000850
844,No mediate cause,2020S000851
845,No mediate cause,2020S000852
846,No mediate cause,2020S000853
847,No mediate cause,2020S000854
848,No mediate cause,2020S000855
849,No mediate cause,2020S000856
850,No mediate cause,2020S000857
851,No mediate cause,2020S000858
852,No mediate cause,2020S000859
853,No mediate cause,2020S000860
854,No mediate cause,2020S000861
855,No mediate cause,2020S000862
856,No mediate cause,2020S000863
857,No mediate cause,2020S000864
858,No mediate cause,2020S000865
859,No mediate cause,2020S000866
860,No mediate cause,2020S000867
861,DrunkDriving,2020S000868
862,No mediate cause,2020S000869
863,DrunkDriving,2020S000870
864,No mediate cause,2020S000871
865,No mediate cause,2020S000872
866,No mediate cause,2020S000873
867,No mediate cause,2020S000874
868,No mediate cause,2020S000875
869,No mediate cause,2020S000876
870,No mediate cause,2020S000877
871,No mediate cause,2020S000878
872,No mediate cause,2020S000879
873,No mediate cause,2020S000880
874,No mediate cause,2020S000881
875,No mediate cause,2020S000882
876,No mediate cause,2020S000883
877,No mediate cause,2020S000884
878,No mediate cause,2020S000885
879,No mediate cause,2020S000886
880,No mediate cause,2020S000887
881,No mediate cause,2020S000888
882,No mediate cause,2020S000889
883,No mediate cause,2020S000890
884,No mediate cause,2020S000891
885,No mediate cause,2020S000892
886,No mediate cause,2020S000893
887,No mediate cause,2020S000894
888,No mediate cause,2020S000895
889,No mediate cause,2020S000896
890,No mediate cause,2020S000897
891,No mediate cause,2020S000898
892,No mediate cause,2020S000899
893,No mediate cause,2020S000900
894,No mediate cause,2020S000901
895,No mediate cause,2020S000902
896,No mediate cause,2020S000903
897,No mediate cause,2020S000904
898,No mediate cause,2020S000905
899,No mediate cause,2020S000906
900,No mediate cause,2020S000907
901,No mediate cause,2020S000908
902,No mediate cause,2020S000909
903,No mediate cause,2020S000910
904,No mediate cause,2020S000911
905,No mediate cause,2020S000912
906,No mediate cause,2020S000913
907,No mediate cause,2020S000914
908,No mediate cause,2020S000915
909,DrunkDriving,2020S000916
910,No mediate cause,2020S000917
911,No mediate cause,2020S000918
912,No mediate cause,2020S000919
913,No mediate cause,2020S000920
914,No mediate cause,2020S000921
915,No mediate cause,2020S000922
916,No mediate cause,2020S000923
917,No mediate cause,2020S000924
918,No mediate cause,2020S000925
919,No mediate cause,2020S000926
920,No mediate cause,2020S000927
921,No mediate cause,2020S000928
922,DrunkDriving,2020S000929
923,No mediate cause,2020S000930
924,No mediate cause,2020S000931
925,No mediate cause,2020S000932
926,No mediate cause,2020S000933
927,No mediate cause,2020S000934
928,DrunkDriving,2020S000935
929,No mediate cause,2020S000936
930,No mediate cause,2020S000937
